=== HQ RECOMPRESS SUMMARY ===
변환 성공: 283
원본 못 찾음: 0
동명이인/모호함: 0
변환 오류: 0
대상 설정: HERO + STILL / max 2800px / WebP q95
입력 용량 합계: 1230.4 MB
출력 용량 합계: 68.7 MB

=== DETAILS ===
OK | myname-still-06.png -> myname-still-06.webp | 3598x2024 -> 2800x1575 | 1096KB -> 90KB | match=exact-relative
OK | we-gobi-still-10.png -> we-gobi-still-10.webp | 3600x2018 -> 2800x1570 | 674KB -> 84KB | match=exact-relative
OK | we-gobi-still-04.png -> we-gobi-still-04.webp | 3600x2018 -> 2800x1570 | 5874KB -> 237KB | match=exact-relative
OK | noel-still-04.png -> noel-still-04.webp | 3146x2258 -> 2800x2010 | 3521KB -> 167KB | match=exact-relative
OK | m-art-still-01.png -> m-art-still-01.webp | 3600x1532 -> 2800x1192 | 5378KB -> 275KB | match=exact-relative
OK | 2024-인천광역시-이장-통장-소양교육-still-02.webp -> 2024-inceongwangyeogsi-ijang-tongjang-soyanggyoyug-still-02.webp | 900x614 -> 900x614 | 116KB -> 113KB | match=exact-relative
OK | 0-track-still-01.png -> 0-track-still-01.webp | 3600x2016 -> 2800x1568 | 5043KB -> 329KB | match=exact-relative
OK | 2024-광주시-어린이날-가족축제-hero.png -> 2024-gwangjusi-eorininal-gajogcugje-hero.webp | 1672x941 -> 1672x941 | 984KB -> 126KB | match=exact-relative
OK | lovegame-hero.png -> lovegame-hero.webp | 1672x941 -> 1672x941 | 1500KB -> 140KB | match=exact-relative
OK | independence-diary-hero.png -> independence-diary-hero.webp | 3600x2018 -> 2800x1570 | 8044KB -> 367KB | match=exact-relative
OK | from-yerim-hero.png -> from-yerim-hero.webp | 3598x1620 -> 2800x1261 | 2740KB -> 186KB | match=exact-relative
OK | noel-still-05.png -> noel-still-05.webp | 3146x2258 -> 2800x2010 | 4010KB -> 194KB | match=exact-relative
